param,estimator,rel_mean_bias_Normal_15,rel_mean_bias_Normal_20,rel_mean_bias_Normal_50,rel_mean_bias_Normal_100,rel_mean_bias_Normal_1000,rel_mean_bias_Non-normal_15,rel_mean_bias_Non-normal_20,rel_mean_bias_Non-normal_50,rel_mean_bias_Non-normal_100,rel_mean_bias_Non-normal_1000,rel_median_bias_Normal_15,rel_median_bias_Normal_20,rel_median_bias_Normal_50,rel_median_bias_Normal_100,rel_median_bias_Normal_1000,rel_median_bias_Non-normal_15,rel_median_bias_Non-normal_20,rel_median_bias_Non-normal_50,rel_median_bias_Non-normal_100,rel_median_bias_Non-normal_1000,rmse_Normal_15,rmse_Normal_20,rmse_Normal_50,rmse_Normal_100,rmse_Normal_1000,rmse_Non-normal_15,rmse_Non-normal_20,rmse_Non-normal_50,rmse_Non-normal_100,rmse_Non-normal_1000
$\theta$,ML,-0.005962422250373144,-0.005990555549525511,-0.0016322213513829062,0.001110473844880805,-2.5133052416226797e-6,-0.0051770996917464545,0.0015547765034711004,1.7279016474822388e-4,0.004162919466700292,2.0012183514661212e-4,-0.013845347462307358,-0.011625381169497417,-0.0025062220724532836,-5.487981981544863e-4,-5.523388934934701e-4,-0.03822071442448055,-0.026276614829945286,-0.005342995434339514,-0.002048237856134392,-8.782911487986666e-5,63.35554484100201,56.749413167297796,34.744114972843626,25.18968628464093,7.65020737265538,120.8146377377108,104.46700548958432,63.4680353475007,46.494522518284356,14.485537562831253
$\theta$,eBRM,-0.009664299554317366,-0.00822402698714779,-0.012322393698474904,0.0011095915344683897,-2.391562784860918e-6,0.00675123421491434,0.002467759798968841,-0.030248376874289423,0.00396031081273312,2.0073270442913993e-4,-0.013578608069503105,-0.009571932620986786,-0.00180693580007096,-4.8183800196301266e-4,-5.469156254881682e-4,-0.03453157525556389,-0.023966279820791043,-0.004165883058542931,-0.0016958381236325977,-9.06738619384555e-5,91.45822296015595,90.60365297991702,171.91228366799936,25.191075292519162,7.650249605106812,285.75499661029176,108.0773241139867,464.1517611725053,46.54109928972948,14.485314501573152
$\theta$,iBRM,1.0592038421696485e-4,4.121165142351107e-4,-0.0024940296612809628,0.0010981439306128181,-5.766312152626294e-6,-9.711521158867569e-5,2.826006783978795e-4,0.0022398761918805423,0.0023809999430438994,1.9267087421510684e-4,-3.835381789940584e-10,-1.2948850439897797e-8,-2.8894123173046183e-4,-0.0012898336678107967,-5.37485847871892e-4,-1.7597981241124216e-9,-1.5699015420977957e-12,-3.440579916969e-9,-6.567822805436663e-8,-1.1981463386968016e-4,1.4770226920424976,4.16563826478648,28.30939430221807,25.158244949936424,7.65046666548188,1.55846074753631,2.363963219013558,25.938321458176674,39.81151730987703,14.485714504408309
$\theta$,iBRMp,-0.9087103964213846,-0.9002331468074449,-0.8715372109801153,-0.8060435978035798,-0.34254704863111457,-0.897845911675591,-0.8935963641091829,-0.8473420043552461,-0.7931469940749057,-0.3423940621364293,-0.9436328698444985,-0.9316361636947289,-0.8777040086347292,-0.8109615849542923,-0.342704518174324,-0.9436830704610547,-0.9316596237730361,-0.877036521633978,-0.8104896336287656,-0.3424218457832885,461.428792431424,455.8119220898711,436.75375604150486,403.47452386887926,171.29908247380462,458.31809316661577,454.16544089971836,429.05172693220857,399.63448144846103,171.2956340219132
"$\Psi_{1,1}$",ML,-0.12007644726954075,-0.060426804977314806,-0.017926184472949528,-0.013285978427689377,-0.004135577677817423,-0.10964848231881806,-0.06852242751411718,-0.03859046159229055,9.624973171601068e-4,-6.80158412070457e-4,-0.16338137556887566,-0.10638471291960229,-0.028671236986931282,-0.012231363915503422,-0.004309387391653921,-0.29294078045749766,-0.2269345075735462,-0.10385233606510857,-0.03519724945025318,-0.0035537812880403925,260.55345100662447,227.26489804763582,143.90738517107295,101.08217535463106,31.11316660801972,408.13399777362184,372.8800971154952,238.28690366776806,178.79530712616707,53.22810006593703
"$\Psi_{1,1}$",eBRM,0.016145502942063333,0.033950022931115695,0.17188503931798477,-2.492259595549818e-4,-0.002826572530552628,-0.21438533923995526,-0.013982578199571744,0.4578503904146909,0.017346356810909146,6.363922275127326e-4,-0.11022269519333179,-0.061681926753055595,-0.00310436514339916,0.001005232705963098,-0.00303593773014737,-0.2556405511788131,-0.20927165231000444,-0.08934318184131655,-0.020448192402942388,-0.002132338340374686,1133.4327809925992,1144.378725880648,2844.5876875793438,101.95265761949011,31.100415182232638,4369.198839685846,594.0837380887651,7799.827087048713,188.81740261346098,53.28920925448441
"$\Psi_{1,1}$",iBRM,6.47410274031419e-4,0.005220756065020785,0.04092291446806578,0.0021981151346573556,-0.002840725786824163,3.250730283790317e-4,8.416565737698766e-4,0.023966044043019625,0.009403904389029634,6.677067492061246e-4,0,1.6987777578172178e-8,2.3347622743740844e-4,-0.002402075949308317,-0.0033522740121418337,1.1654244438184172e-11,1.7896062135233395e-9,8.189290280246166e-9,-3.695493593897936e-4,-0.001876650631176269,9.405455086156492,20.09610592607999,98.45763995395377,99.14560816764636,31.099635429880113,3.1702253372774223,3.2118882917062836,67.91306438867882,112.4162404971355,53.28253146343142
"$\Psi_{1,1}$",iBRMp,-0.9195811106941594,-0.9104407161115489,-0.883771099945134,-0.8232220728026165,-0.3893603489285262,-0.9104080299480379,-0.9053206701930699,-0.8622683466281069,-0.8142996663806616,-0.38823811203881914,-0.9496958102772494,-0.9381920496213694,-0.8892737282161286,-0.8288278463887931,-0.3894754796749754,-0.9512534825589493,-0.9400201834453618,-0.889709268980658,-0.8296339308137689,-0.3882414964704364,512.3378585014434,506.3378311138346,487.09056209203345,453.5092797620446,214.3958997156535,509.4945357472021,505.1423288155298,479.4875033200769,450.8571753118466,214.27834434902476
"$\Psi_{2,2}$",ML,-0.07740161844250237,-0.0422232100726928,-0.018384724714840588,-0.006287729703776391,-0.001936360441224358,-0.058727908599539067,-0.07846915871133205,-0.01930172206289649,-0.01839013310626184,-0.0025263130639301113,-0.14151683083427996,-0.08057356732402923,-0.03201586399306052,-0.011570415164923133,-0.0029064029980798976,-0.22709138735418094,-0.2096673755876799,-0.08162798142997019,-0.05048553869437114,-0.0073039294220126295,39.20084580319216,32.817266146214664,20.431299411138113,14.68839022378531,4.595567113970533,68.41693295709892,57.95668671927197,39.14983147617776,28.75984945225287,8.876914200118243
"$\Psi_{2,2}$",eBRM,-0.006772867522410847,0.010875294339524902,0.00617873917843733,0.004254936609196185,-8.777693813553422e-4,-0.009078423620356038,-0.032142093236720175,0.013395349839515451,-0.007817103179876187,-0.0014680245575206768,-0.0804607122758273,-0.0333532336946655,-0.010967246364078847,-0.0014129671247985697,-0.0018524957052056834,-0.17798356242400415,-0.1726740343332051,-0.06293213368235798,-0.0403817251532206,-0.006257731935677384,45.31700425517613,38.604368515492666,23.551565980351477,14.82696948081642,4.596913357074632,129.57407488991595,60.87327802223146,52.25760143668332,28.97841746739874,8.883488627994161
"$\Psi_{2,2}$",iBRM,0.015992469233419855,0.030159142698035265,0.008371692622414575,0.003898325875665817,-8.820705923347727e-4,0.009732993412890698,0.010617760924136124,0.04293001878673025,0.011032577191737631,-0.0014769858257098927,2.5054504249055753e-9,1.9209062998015723e-8,-2.2737367544323206e-15,-9.513272366274351e-4,-0.0018548967749592294,1.458772658224916e-11,-2.2737367544323206e-15,-4.763478500535712e-13,-0.01845757005797054,-0.006271047871596807,11.112686354593162,16.7001283215681,19.939035521335775,14.824123281046022,4.596938850733871,15.01051081471352,16.615739730850315,30.438108384244458,28.318870368523868,8.88323817740622
"$\Psi_{2,2}$",iBRMp,-0.7966547492436508,-0.4799423925933988,-0.604702457403079,-0.38821051527248185,-0.02200242279191173,-0.7800028104978111,-0.5999972552805561,-0.556700835700182,-0.39193908686201595,-0.01742801879981968,-0.8317292690931393,-0.7851073959089002,-0.6464849428940245,-0.48777135429569846,-0.022130862504248228,-0.8334253238908602,-0.7912297889791182,-0.6420163787652677,-0.4897759160584398,-0.02594430142892634,81.99315290396159,84.4113776359822,64.1610088276794,56.31190210686035,4.648560782912992,81.98725527503566,78.5536408243752,64.03730958298675,55.55142765173636,12.971735727373975
"$\Psi_{1,2}$",ML,-0.008742654566612051,0.008242770696742174,0.014157671722063137,-0.0036019018927848034,0.003379250564338259,-0.01741942670902289,0.017247224463613632,-0.02609387578676973,-0.019226577472920524,0.004097452773101536,0.01977130521422197,-0.04332686264701522,0.03255198118133009,-0.01513292986877488,2.8991428081486247e-4,-0.18042592609797642,-0.13157713101369453,-0.07629315141310382,-0.06112155279771851,0.001956181691813086,64.60533254989693,62.06400477997295,38.0267677905231,27.49835839754115,8.64595420960171,72.12380090687799,61.98819933897511,38.59839305625012,29.966526944332422,9.468163936738328
"$\Psi_{1,2}$",eBRM,0.11690147420137546,0.04680067265659325,-0.028089980672579708,-3.8669783074801105e-4,0.0036998075401859258,-0.3312462813782418,0.013837294286502808,0.2592011557713386,-0.013264495513699256,0.004423792186101974,0.03439109363192401,-0.051519780176987065,0.0407273041716973,-0.013479681885543649,6.206142437699569e-4,-0.21403433609987238,-0.127884604985724,-0.08743020043629138,-0.05941318036250944,0.002309089362027983,129.3478516462289,109.91347962225626,75.75658235992057,27.77369752865833,8.654806423445526,636.3180218517381,71.80442459488995,342.27267736847614,30.713676082424225,9.478189393996646
"$\Psi_{1,2}$",iBRM,0.011868324731887963,0.03565170498293041,0.10596305106958492,0.003611506694078455,0.003678820984445633,-0.0030797947211378806,-0.0026592350668022324,0.017873303061845435,-0.00806910684534044,0.004421178962585425,-1.0426820828968175e-8,-9.07363073565648e-13,0.012009911754270419,-0.011888555816874558,6.164787151991646e-4,-2.5558751559628946e-9,-2.1200280819755334e-8,-8.535326347924866e-8,-0.013856599432063276,0.0022461123745097567,7.425351151000844,16.20002289339231,35.24326019381235,27.80867587491123,8.654375338155669,3.5763111957087226,4.520624689068734,21.56613518877059,28.346914852540962,9.477734813834108
"$\Psi_{1,2}$",iBRMp,-0.8873392644560211,-0.9186033658614111,-0.8937798419898995,-0.82331667558846,-0.38992114618863727,-0.8903387022747387,-0.9132390968565067,-0.8544584011088773,-0.8179866885002282,-0.3907352453072964,-0.9526163400190434,-0.9506148366752848,-0.9051729846950473,-0.8517162542459304,-0.3908230775932699,-0.9590048976529987,-0.9541988853339355,-0.9037776500724934,-0.8565268025214315,-0.38998216998129126,40.02928953636314,42.56971215982366,36.831521734000596,36.11642907355909,16.373421897443922,40.94723811763884,41.579851266808355,39.35519951045679,36.938425555978135,16.610366841420507
